kniha,castka,nazev_subjektu,ICO,smlouva_id,datum_evidence,popis
08 - Odbor krizového řízení,3366960,KonekTel a.s.,15051145,,2003-12-15,akce č. 7154 - Zvýšení přenosových kapacit MRS TETRA
08 - Odbor krizového řízení,1759676.8,KonekTel a.s.,15051145,,2005-12-15,
08 - Odbor krizového řízení,486769.5,KonekTel a.s.,15051145,,2005-12-15,
08 - Odbor krizového řízení,25410262.1,KonekTel a.s.,15051145,,2005-12-15,
08 - Odbor krizového řízení,15302.3,KonekTel a.s.,15051145,,2005-08-04,
08 - Odbor krizového řízení,4766,KonekTel a.s.,15051145,,2006-12-14,
08 - Odbor krizového řízení,28870.95,KonekTel a.s.,15051145,,2006-09-08,
08 - Odbor bezpečnosti a krizového řízení,79693189.4,"KonekTel, a.s.",15051145,MHMPXOXL88Z2,2013-06-04,investiční akce č. 7154 - Modernizace městského rádiového systému standardu TETRA 1.část
08 - Odbor bezpečnosti a krizového řízení,79693189.4,"KonekTel, a.s.",15051145,MHMPXOXL88Z2,2013-11-01,Modernizace městského rádiového systému standardu TETRA
08 - Odbor bezpečnosti a krizového řízení,458026.9,"KonekTel, a.s.",15051145,MHMPXOXL8QZK,2013-10-23,zajištění servisu - MRS (alikvotní část 3.Q.2013)
08 - Odbor bezpečnosti a krizového řízení,2985354.4,"KonekTel, a.s.",15051145,MHMPXOXL8QZK,2014-10-08,služby zajišťující servis městského rádiového systemu TETRA 3.Q.2014
08 - Odbor bezpečnosti a krizového řízení,2985354.4,"KonekTel, a.s.",15051145,MHMPXOXL8QZK,2014-04-14,nákup služeb - zajištění servisu MRS 1.Q.2014
08 - Odbor bezpečnosti a krizového řízení,84143.4,"KonekTel, a.s.",15051145,MHMPXOZYKPJG,2014-07-18,obj.č. 21/2014 - instalace el. sirény
08 - Odbor bezpečnosti a krizového řízení,2985354.4,"KonekTel, a.s.",15051145,MHMPXOXL8QZK,2014-07-16,nákup služeb - zajištění provozu MRS za II.Q 2014
08 - Odbor bezpečnosti a krizového řízení,2985354.4,"KonekTel, a.s.",15051145,MHMPXOXL8QZK,2014-01-20,služby zajišťující servis MRS 4.Q.2013
08 - Odbor bezpečnosti a krizového řízení,2,"KonekTel, a.s.",15051145,MHMPXOXL8QZK,2015-01-12,služby zajišťující servis MRS - 4.Q.2014
suma,202942576.35,,,,,
